Student ID,First Nam,Last Name,email,Program,Completed subject,Completed number,Course name,Grades,Term
44008969,Pulkit ,Ghai,pg@gmail.com,Graduate,COMP,6231,Distributed System Design,A-,Fall'19
44008969,Pulkit ,Ghai,pg@gmail.com,Graduate,COMP,6281,Parallel Programming ,B,Fall'19
44008969,Pulkit ,Ghai,pg@gmail.com,Graduate,COMP,6751,Natural Language Analysis,B+,Winter'20
44008969,Pulkit ,Ghai,pg@gmail.com,Graduate,SOEN,6791,Information Retrieval and Web Search ,A-,Winter'20
44008969,Pulkit ,Ghai,pg@gmail.com,Graduate,SOEN,6721,Applied Artificial Intelligence ,B,Summer'20
44008968,Farzi ,Singh,Fs@gmail.com,Graduate,COMP,6231,Distributed System Design,F,Fall'19
44008967,Sukhpreet,Singh,SS@gmail.com,Graduate,COMP,6231,Distributed System Design,B+,Fall'19
44008967,Sukhpreet,Singh,SS@gmail.com,Graduate,COMP,6281,Parallel Programming ,A-,Fall'19
44008967,Sukhpreet,Singh,SS@gmail.com,Graduate,COMP,6751,Natural Language Analysis,A-,Winter'20
44008967,Sukhpreet,Singh,SS@gmail.com,Graduate,SOEN,6791,Information Retrieval and Web Search ,A,Winter'20
44008967,Sukhpreet,Singh,SS@gmail.com,Graduate,SOEN,6721,Applied Artificial Intelligence ,B,Summer'20
44008967,Sukhpreet,Singh,SS@gmail.com,Graduate,SOEN,6321,Machine Learning,B+,Summer'20
44008970,Shi Yun,Shi,sys@gmail.com,Graduate,COMP,6321,Machine Learning,A+,Fall'19
44008970,Shi Yun,Shi,sys@gmail.com,Graduate,SOEN,6711,Computational Geometry,A+,Winter'20
44558872,Alice,down,ad@gmail.com,Graduate,COMP,6231,Distributed System Design,B+,Fall'19
44558872,Alice,down,ad@gmail.com,Graduate,COMP,6751,Natural Language Analysis,B+,Winter'20
44558872,Alice,down,ad@gmail.com,Graduate,SOEN,6791,Information Retrieval and Web Search ,A-,Winter'20
46851233,Bob,Marks,BM@gmail.com,Graduate,COMP,6281,Parallel Programming ,B,Fall'20
46851233,Bob,Marks,BM@gmail.com,Graduate,SOEN,6611,Software Measurement,A,Fall'20
46851233,Bob,Marks,BM@gmail.com,Graduate,COMP,6331,Advanced Game Development ,C,Fall'20
12545254,John,Hawk,KH@gmail.com,Graduate,SOEN,6461,Software Design Methodologies,B-,Winter'19
12545254,John,Hawk,KH@gmail.com,Graduate,SOEN,6501,Programming Competency Test,B,Winter'19
12545254,John,Hawk,KH@gmail.com,Graduate,SOEN,6761,Multimedia Computing,B,Winter'19
58751236,kristy,lincon,KL@gmail.com,Graduate,SOEN,6461,Software Design Methodologies,B-,Fall'20
58751236,kristy,lincon,KL@gmail.com,Graduate,SOEN,6501,Programming Competency Test,B,Fall'20
58751236,kristy,lincon,KL@gmail.com,Graduate,SOEN,6761,Multimedia Computing,B,Fall'20
45875821,megan,fox,mf@gmail.com,Graduate,COMP,6521,Advanced Database Technology and Applications,A+,Fall'19
45875821,megan,fox,mf@gmail.com,Graduate,COMP,6281,Parallel Programming ,B,Fall'19
44008968,Farzi ,Singh,Fs@gmail.com,Undergraduate,COMP,6281,Parallel Programming ,B,Fall'20
87545122,Joey,Tribbiani,Jt@gmail.com,Undergraduate,COMP,6751,Natural Language Analysis,B+,Winter'20
87545122,Joey,Tribbiani,Jt@gmail.com,Undergraduate,SOEN,6791,Information Retrieval and Web Search ,A-,Winter'20
87545122,Joey,Tribbiani,Jt@gmail.com,Undergraduate,COMP,6281,Parallel Programming ,B,Fall'20
45875122,Monica,Geller,RG@gmail.com,Undergraduate,COMP,6281,Parallel Programming ,B,Fall'19
45875122,Monica,Geller,RG@gmail.com,Undergraduate,COMP,6751,Natural Language Analysis,B+,Winter'20
45875122,Monica,Geller,RG@gmail.com,Undergraduate,SOEN,6791,Information Retrieval and Web Search ,A-,Winter'20
45875122,Monica,Geller,RG@gmail.com,Undergraduate,SOEN,6721,Applied Artificial Intelligence ,B,Summer'20
